Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
"A.R. Keshavarzi, M. Sharifzadeh, A.A. Kamgar Haghighi, S. Amin, Sh. Keshtkar, A. Bamdad, Rural domestic water consumption behavior: A case study in Ramjerd area, Fars province, I.R. Iran, Water Research, Volume 40, Issue 6, March 2006, Pages 1173-1178, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2006.01.021.",Consumer,Not retail,,,,,,,,
Water Practice and Technology - Browse Archive,Customer,No article,,,,,,,,
Water Practice and Technology - Browse Archive,Customer,No article,,,,,,,,
"Alexander L.N. van Nuijs, Bert Pecceu, Laetitia Theunis, Nathalie Dubois, Corinne Charlier, Philippe G. Jorens, Lieven Bervoets, Ronny Blust, Hugo Neels, Adrian Covaci, Spatial and temporal variations in the occurrence of cocaine and benzoylecgonine in waste- and surface water from Belgium and removal during wastewater treatment, Water Research, Volume 43, Issue 5, March 2009, Pages 1341-1349, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.12.020.",Consumer,Not retail,,,,,,,,
Water Science & Technology (2015) - Measuring the efficiency of wastewater services through Data Envelopment Analysis,Customer,Not retail,,,,,,,,
"Angeliki Aisopou, Ivan Stoianov, Nigel J.D. Graham, In-pipe water quality monitoring in water supply systems under steady and unsteady state flow conditions: A quantitative assessment, Water Research, Volume 46, Issue 1, 1 January 2012, Pages 235-246, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.10.058.",Consumer,Not retail,,,,,,,,
Water Science & Technology 16:1-2 (1984) 95-105 - R. Misdorp et al. - Environmental Consequences of a Large Scale Coastal Engineering Project on Aspects of Mussel Cultivation in the Eastern Scheldt,Marketing,Not retail,,,,,,,,
"Water Science & Technology 16:12 (1984) 449-460 - S?ren Hallquist - Beneficial Use of Sewage Sludge in the Gothenburg Region, Sweden",Marketing,Not retail,,,,,,,,
Water Science & Technology 18:7-8 (1986) 95-102 - J. F. Kreissl - North American and European Experience with Biological Toilets,Marketing,Not retail,,,,,,,,
"C. Amiard-Triquet, C. Metayer, J.-C. Amiard, avec la collaboration technique de R. Ferre, Etude du transfert de Cd, Pb, Cu et Zn dans les chaines trophiques neritiques et estuariennes—II. Accumulation biologique chez les poissons planctonophages, Water Research, Volume 14, Issue 9, 1980, Pages 1327-1332, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(80)90193-1.",Consumer,Not English,,,,,,,,
"Camille Haman, Xavier Dauchy, Christophe Rosin, Jean-François Munoz, Occurrence, fate and behavior of parabens in aquatic environments: A review, Water Research, Volume 68, 1 January 2015, Pages 1-11, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.09.030.",Consumer,Not retail,,,,,,,,
"Carolina B. Mendez, J. Brandon Klenzendorf, Brigit R. Afshar, Mark T. Simmons, Michael E. Barrett, Kerry A. Kinney, Mary Jo Kirisits, The effect of roofing material on the quality of harvested rainwater, Water Research, Volume 45, Issue 5, February 2011, Pages 2049-2059, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.12.015.",Consumer,Not retail,,,,,,,,
"Christina E. Cowan, Robert J. Larson, Tom C.J. Feijtel, Robert A. Rapaport, An improved model for predicting the fate of consumer product chemicals in wastewater treatment plants, Water Research, Volume 27, Issue 4, April 1993, Pages 561-573, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(93)90165-E.",Consumer,Not retail,,,,,,,,
"Chung-Min Liao, Ming-Chao Lin, Jui-Sheng Chen, Jein-Wen Chen, Linking biokinetics and consumer–resource dynamics of zinc accumulation in pond abalone Haliotis diversicolor supertexta, Water Research, Volume 36, Issue 20, December 2002, Pages 5102-5112, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(02)00230-0.",Consumer,Not retail,,,,,,,,
Water Science & Technology 22:12 (1990) 107-116 - William E. Toffey - Large-Scale Sewage Sludge Composting: A Case for Maintaining a Diversified Program,Marketing,Not retail,,,,,,,,
"Darius Sabaliunas, Simon F. Webb, Armin Hauk, Martin Jacob, William S. Eckhoff, Environmental fate of Triclosan in the River Aire Basin, UK, Water Research, Volume 37, Issue 13, July 2003, Pages 3145-3154, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(03)00164-7.",Consumer,Not retail,,,,,,,,
"E. Sazakli, A. Alexopoulos, M. Leotsinidis, Rainwater harvesting, quality assessment and utilization in Kefalonia Island, Greece, Water Research, Volume 41, Issue 9, May 2007, Pages 2039-2047, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.01.037.",Consumer,Not retail,,,,,,,,
"Eric P. Holinger, Kimberly A. Ross, Charles E. Robertson, Mark J. Stevens, J. Kirk Harris, Norman R. Pace, Molecular analysis of point-of-use municipal drinking water microbiology, Water Research, Volume 49, 1 February 2014, Pages 225-235, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.11.027.",Consumer,Not retail,,,,,,,,
Water Science & Technology 27:5-6 (1993) 11-27 - Andrew R. Eadon - Investment Planning for Second Generation Sewerage Systems,Customer,Not retail,,,,,,,,
"Eva Rodríguez, Gretchen D. Onstad, Tomas P.J. Kull, James S. Metcalf, Juan L. Acero, Urs von Gunten, Oxidative elimination of cyanotoxins: Comparison of ozone, chlorine, chlorine dioxide and permanganate, Water Research, Volume 41, Issue 15, August 2007, Pages 3381-3393, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.03.033.",Consumer,Not retail,,,,,,,,
"Francis Guillemin, Pascalle Henry, Ndidi Uwechue, Loïc Monjour, Faecal contamination of rural water supply in the Sahelian area, Water Research, Volume 25, Issue 8, August 1991, Pages 923-927, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(91)90139-H.",Consumer,Not retail,,,,,,,,
"Gianluca Brunetti, Erica Donner, Giuseppe Laera, Ryo Sekine, Kirk G. Scheckel, Maryam Khaksar, Krasimir Vasilev, Giuseppe De Mastro, Enzo Lombi, Fate of zinc and silver engineered nanoparticles in sewerage networks, Water Research, Volume 77, 15 June 2015, Pages 72-84, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2015.03.003.",Consumer,Not retail,,,,,,,,
Water Science & Technology 29:8 (1994) 135-147 - P. Matthews - The Sewage Works Manager ? An Industrialists Friend or Foe?,Customer,Not retail,,,,,,,,
"Graham B Mcbride, Julian C Ellis, Confidence of compliance: a bayesian approach for percentile standards, Water Research, Volume 35, Issue 5, April 2001, Pages 1117-1124, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(00)00536-4.",Consumer,Not retail,,,,,,,,
"Graham B. McBride, Confidence of compliance: parametric versus nonparametric approaches, Water Research, Volume 37, Issue 15, September 2003, Pages 3666-3671, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(03)00272-0.",Consumer,Not retail,,,,,,,,
Water Science & Technology 43:10 (2001) 203-209 - S. Adham et al. - Feasibility of the membrane bioreactor process for water reclamation,Marketing,Not retail,,,,,,,,
"Huihsien Chang, Chiayang Chen, Genshuh Wang, Identification of potential nitrogenous organic precursors for C-, N-DBPs and characterization of their DBPs formation, Water Research, Volume 45, Issue 12, June 2011, Pages 3753-3764, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.04.027.",Consumer,Not retail,,,,,,,,
"Irina Cech, Jeff Montera, Spatial variations in total aluminum concentrations in drinking water supplies studied by geographic information system (GIS) methods, Water Research, Volume 34, Issue 10, 1 July 2000, Pages 2703-2712, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(00)00026-9.",Consumer,Not retail,,,,,,,,
"Irina Cech, Mengistu Lemma, Charles W. Kreitler, Howard M. Prichard, Radium and radon in water supplies from the Texas Gulf Coastal aquifer, Water Research, Volume 22, Issue 1, January 1988, Pages 109-121, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(88)90137-6.",Consumer,Not retail,,,,,,,,
"J Water SRT - Aqua 53 (2004) 497-508 - Andreas Holy et. al.: - Planning of an ultrafiltration plant with a capacity of 6,000 m3 h?1 for the treatment of drinking water at Roetgen water works",Consumer,Not retail,,,,,,,,
J Water SRT - Aqua 54 (2005) 313-319 - Audrey E. McDaniels et al. - Comparison of rapid methods to evaluate chlorine inactivation of the biological agent E. coli O157:H7,Consumer,Not retail,,,,,,,,
Water Science & Technology 46:6-7 - Contents,Customer,No article,,,,,,,,
"Water Science & Technology 47:1 (2003) 15-20 - Y.G. Yan et al. - Integrated centralized utility services to a chemical complex on Jurong Island, Singapore",Customer,Not retail,,,,,,,,
"J. Tamis, G. van Schouwenburg, R. Kleerebezem, M.C.M. van Loosdrecht, A full scale worm reactor for efficient sludge reduction by predation in a wastewater treatment plant, Water Research, Volume 45, Issue 18, 15 November 2011, Pages 5916-5924, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.08.046.",Consumer,Not retail,,,,,,,,
"J.-C. Amiard, C. Amiard-Triquet, C. Metayer, J. Marchand, R. Ferre, avec la collaboration technique de, Etude du transfert DE Cd, Pb, Cu ET Zn dans les chaines trophiques neritiques et estuariennes—I. Etat dans l'estuaire interne de la loire (France) au cours de l'ete 1978, Water Research, Volume 14, Issue 6, 1980, Pages 665-673, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(80)90125-6.",Consumer,Not English,,,,,,,,
Water Science & Technology 47:7-8 (2003) 73-79 - K. Rahman and T. Weber - Sustainable urban development in Brisbane City - the Holy Grail?,Marketing,Not retail,,,,,,,,
"J.W. Davis, S. Gonsior, G. Marty, J. Ariano, The transformation of hexabromocyclododecane in aerobic and anaerobic soils and aquatic sediments, Water Research, Volume 39, Issue 6, March 2005, Pages 1075-1084, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2004.11.024.",Consumer,Not retail,,,,,,,,
"Jana Zagorc-Kon?an, Milan Dular, Jernej Šoemen, Evaluation of dissolved oxygen balance in two shallow turbulent slovene streams, Water Research, Volume 25, Issue 11, November 1991, Pages 1357-1363, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(91)90114-6.",Consumer,Not retail,,,,,,,,
"Johanna Laybourn-Parry, Janelle Boyall, Pamela Rogers, The role of flagellated and ciliated Protozoa in lagoon and grass filter sewage treatment systems, Water Research, Volume 33, Issue 13, September 1999, Pages 2971-2977, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(98)00523-5.",Consumer,Not retail,,,,,,,,
Journal of Water and Health 08:3 (2010) 513-520 - Gyula Dura et al. - Environmental health aspects of drinking water-borne outbreak due to karst flooding: case study,Consumer,Not retail,,,,,,,,
"Journal of Water and Health 8:4 (2010) 735-740 - Karthikeyan Paranthaman and Henrietta Harrison - Drinking water incidents due to chemical contamination in England and Wales, 2006-2008",Consumer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology?AQUA (2014) - Multi-objective optimisation of the operation of a water distribution network,Consumer,No article,,,,,,,,
Journal of Water Supply: Research and Technology?AQUA (2015) - A holistic decision-making framework for selecting domestic piping materials,Consumer,No article,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:4 (2014) 699-708 - Elizabeth M. Blanton et al. - Microfinance partnerships to improve access to durable water filters: results from six pilots in India and Cambodia",Consumer,Not retail,,,,,,,,
"Julia Hammes, Julián A. Gallego-Urrea, Martin Hassellöv, Geographically distributed classification of surface water chemical parameters influencing fate and behavior of nanoparticles and colloid facilitated contaminant transport, Water Research, Volume 47, Issue 14, 15 September 2013, Pages 5350-5361, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.06.015.",Consumer,Not retail,,,,,,,,
"Katherine Zodrow, Léna Brunet, Shaily Mahendra, Dong Li, Anna Zhang, Qilin Li, Pedro J.J. Alvarez, Polysulfone ultrafiltration membranes impregnated with silver nanoparticles show improved biofouling resistance and virus removal, Water Research, Volume 43, Issue 3, February 2009, Pages 715-723, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.11.014.",Consumer,Not retail,,,,,,,,
"Keah-Ying Lim, Sunny C. Jiang, Reevaluation of health risk benchmark for sustainable water practice through risk analysis of rooftop-harvested rainwater, Water Research, Volume 47, Issue 20, 15 December 2013, Pages 7273-7286, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.09.059.",Consumer,Not retail,,,,,,,,
"L Braeken, B Van der Bruggen, C Vandecasteele, Regeneration of brewery waste water using nanofiltration, Water Research, Volume 38, Issue 13, July 2004, Pages 3075-3082, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2004.03.028.",Consumer,Not retail,,,,,,,,
Water Science & Technology 56:10 (2007) 45-53 - P. Pavan et al. - Anaerobic co-digestion of sludge with other organic wastes in small wastewater treatment plants: an economic considerations evaluation,Marketing,Not retail,,,,,,,,
"L. Hureiki, J.P. Croué, B. Legube, Chlorination studies of free and combined amino acids, Water Research, Volume 28, Issue 12, December 1994, Pages 2521-2531, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(94)90070-1.",Consumer,Not retail,,,,,,,,
Water Science & Technology 56:2 (2007) 79-87 - D. Bolzonella et al. - Treatment of winery wastewater in a conventional municipal activated sludge process: five years of experience,Marketing,Not retail,,,,,,,,
"M.B. Beck, Dynamic modelling and control applications in water quality maintenance, Water Research, Volume 10, Issue 7, 1976, Pages 575-595, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(76)90139-1.",Consumer,Not retail,,,,,,,,
Water Science & Technology 63:12 (2011) 2909-2915 - S. S. M. Mol et al. - Opportunities for public water utilities in the market of energy from water,Marketing,Not retail,,,,,,,,
"Michele Laureni, David G. Weissbrodt, Ilona Szivák, Orlane Robin, Jeppe Lund Nielsen, Eberhard Morgenroth, Adriano Joss, Activity and growth of anammox biomass on aerobically pre-treated municipal wastewater, Water Research, Available online 1 May 2015, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2015.04.026.",Consumer,Not retail,,,,,,,,
Water Science & Technology 64:6 (2011) 1317-1324 - J. A. E. ten Veldhuis and F. H. L. R. Clemens - The efficiency of asset management strategies to reduce urban flood risk,Customer,Not retail,,,,,,,,
"Niroj Aryal, Dawn M. Reinhold, Phytoaccumulation of antimicrobials from biosolids: Impacts on environmental fate and relevance to human exposure, Water Research, Volume 45, Issue 17, 1 November 2011, Pages 5545-5552, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.08.027.",Consumer,Not retail,,,,,,,,
"Okkyoung Choi, Thomas E. Clevenger, Baolin Deng, Rao Y. Surampalli, Louis Ross Jr., Zhiqiang Hu, Role of sulfide and ligand strength in controlling nanosilver toxicity, Water Research, Volume 43, Issue 7, April 2009, Pages 1879-1886, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.01.029.",Consumer,Not retail,,,,,,,,
"P. Riou, J.C. Le Saux, F. Dumas, M.P. Caprais, S.F. Le Guyader, M. Pommepuy, Microbial impact of small tributaries on water and shellfish quality in shallow coastal areas, Water Research, Volume 41, Issue 12, June 2007, Pages 2774-2786, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.03.003.",Consumer,Not retail,,,,,,,,
Water Science & Technology-WST 57:1 (2008) 91-97 - N. E. Adler et al. - Environmental impact assessment and control of pharmaceuticals: the role of environmental agencies,Marketing,Not retail,,,,,,,,
"Qian Sui, Jun Huang, Shubo Deng, Gang Yu, Qing Fan, Occurrence and removal of pharmaceuticals, caffeine and DEET in wastewater treatment plants of Beijing, China, Water Research, Volume 44, Issue 2, January 2010, Pages 417-426, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.07.010.",Consumer,Not retail,,,,,,,,
"Qilin Li, Shaily Mahendra, Delina Y. Lyon, Lena Brunet, Michael V. Liga, Dong Li, Pedro J.J. Alvarez, Antimicrobial nanomaterials for water disinfection and microbial control: Potential applications and implications, Water Research, Volume 42, Issue 18, November 2008, Pages 4591-4602, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.08.015.",Consumer,Not retail,,,,,,,,
"S Riediker, M.J.-F Suter, W Giger, Benzene- and naphthalenesulfonates in leachates and plumes of landfills, Water Research, Volume 34, Issue 7, 1 May 2000, Pages 2069-2079, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(99)00368-1.",Consumer,Not retail,,,,,,,,
Water Science & Technology-WST 61:9 (2010) 2417-2424 - S. Arthur and R. Burkhard - Prioritising sewerage maintenance using inferred sewer age: a case study for Edinburgh,Customer,Not retail,,,,,,,,
"Samuel W. Bennett, Adeyemi Adeleye, Zhaoxia Ji, Arturo A. Keller, Stability, metal leaching, photoactivity and toxicity in freshwater systems of commercial single wall carbon nanotubes, Water Research, Volume 47, Issue 12, 1 August 2013, Pages 4074-4085, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.12.039.",Consumer,Not retail,,,,,,,,
"Sandra Buzio, Giorgio Pesando, Gian Maria Zuppi, Hydrogeological study on the presence of asbestos fibres in water of northern Italy, Water Research, Volume 34, Issue 6, 1 April 2000, Pages 1817-1822, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(99)00336-X.",Consumer,Not retail,,,,,,,,
"Sandra Casani, Mahbod Rouhany, Susanne Knøchel, A discussion paper on challenges and limitations to water reuse and hygiene in the food industry, Water Research, Volume 39, Issue 6, March 2005, Pages 1134-1146, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2004.12.015.",Consumer,Not retail,,,,,,,,
"Sandrine Sourisseau, Anne Bassères, Frédéric Périé, Thierry Caquet, Calibration, validation and sensitivity analysis of an ecosystem model applied to artificial streams, Water Research, Volume 42, Issues 4–5, February 2008, Pages 1167-1181, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.08.039.",Consumer,Not retail,,,,,,,,
"Shruti Pavagadhi, Muthuswamy Sathishkumar, Rajasekhar Balasubramanian, Uptake of Ag and TiO2 nanoparticles by zebrafish embryos in the presence of other contaminants in the aquatic environment, Water Research, Volume 55, 15 May 2014, Pages 280-291, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.02.036.",Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 12:5 - Contents,Customer,No article,,,,,,,,
"Syam S. Andra, Konstantinos C. Makris, James P. Shine, Frequency of use controls chemical leaching from drinking-water containers subject to disinfection, Water Research, Volume 45, Issue 20, 15 December 2011, Pages 6677-6687, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.10.001.",Consumer,Not retail,,,,,,,,
"Vanessa de Jesus Gaffney, Cristina M.M. Almeida, Alexandre Rodrigues, Elisabete Ferreira, Maria João Benoliel, Vitor Vale Cardoso, Occurrence of pharmaceuticals in a water supply system and related human health risk assessment, Water Research, Volume 72, 1 April 2015, Pages 199-208, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.10.027.",Consumer,Not retail,,,,,,,,
"W.H. Dennis Jr., V.P. Olivieri, C.W. Krusé, The reaction of nucleotides with aqueous hypochlorous acid, Water Research, Volume 13, Issue 4, 1979, Pages 357-362, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(79)90023-X.",Consumer,Not retail,,,,,,,,
"Water Policy (2013) - Marginal benefit based optimal water allocation: case of Teesta River, Bangladesh",Consumer,Not retail,,,,,,,,
"Water Policy 15:S1 (2013) 126-146 - Md. Reaz Akter Mullick et al. - Marginal benefit based optimal water allocation: case of Teesta River, Bangladesh",Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 6:5 - Contents,Customer,No article,,,,,,,,
Water Science & Technology: Water Supply 6:5 - Not article,Marketing,No article,,,,,,,,
"Water Policy 7:5 (2005) 469-483 Tishya Chatterjee - Enhancing community welfare through improved water quality: a case for applying staggered pollution charges in the river Musi sub-basin of Andhra Pradesh, India",Consumer,Not retail,,,,,,,,
"Water Policy 9:S1 (2007) 1-9 - Mark Giordano - Agricultural water policy in China: challenges, issues, and options",Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 7:2 (2007) 101-113 - W.Z. Cui et al. - An overview of water resources management of the Pearl River,Marketing,Not retail,,,,,,,,
"Water Practice & Technology 3:3 (2008) - D?dia I. C. Covas, Ana Cl?udia Jacob and Helena M. Ramos - Water losses' assessment in an urban water network",Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 8:1 - Contents,Customer,No article,,,,,,,,
"Water Quality Research Journal of Canada 48:1 (2013) 85-98 - Farhad Riazi Kermani et al. - Application of automated solid-phase microextraction to determine haloacetonitriles, haloketones, and chloropicrin in Canadian drinking water",Consumer,Not retail,,,,,,,,
Water Science & Technology 15:6-7 (1983) 1-11 - Per-Edvin Persson - Off-Flavours in Aquatic Ecosystems ? An Introduction,Consumer,Not retail,,,,,,,,
Water Science & Technology 43:2 (2001) 179-185 - D Schowanek et al. - GREAT-ER: a new tool for management and risk assessment of chemicals inriver basins Contribution to GREAT-ER No.10,Consumer,Not retail,,,,,,,,
"Water Science & Technology 45:8 (2002) 151-166 - Dr. Rajiv K. Gupta - Water and energy linkages for groundwater exploitation: a case study of Gujarat State, India",Consumer,Not retail,,,,,,,,
"Water Science & Technology 46:1-2 (2002) 73-80 - P.H. Nielsen et al. - Microthrix parvicella, a specialized lipid consumer in anaerobic-aerobic activated sludge plants",Consumer,Not retail,,,,,,,,
Water Science & Technology 48:1 (2003) 57-65 - C. Pahl-Wostl et al. - Investigating consumer attitudes towards the new technology of urine separation,Consumer,Not retail,,,,,,,,
Water Science & Technology 49:7 (2004) 67-72 - D. Duncan - Meeting everyday water needs - a company's contribution,Consumer,Not retail,,,,,,,,
Water Science & Technology 50:4 (2004) 83-92 - R. Both et al. - Odour intensity and hedonic tone - important parameters to describe odour annoyance to residents?,Consumer,Not retail,,,,,,,,
Water Science & Technology 53:10 (2006) 201-207 - P. Standish-Lee and E. Loboschefsky - Protecting public health from the impact of body-contact recreation,Consumer,Not retail,,,,,,,,
Water Science and Technology 32:11 (1995) 145-152 - M. El-S. Easa et al. - Public health implications of waste water reuse for fish production,Marketing,Not retail,,,,,,,,
Water Science & Technology 54:1 (2006) 189-198 - T. Hug et al. - Modelling seasonal dynamics of Microthrix parvicella,Consumer,Not retail,,,,,,,,
Water Science and Technology 33:10-11 (1996) 59-70 - Richard A. Mills and Takashi Asano - A retrospective assessment of water reclamation projects,Marketing,Not retail,,,,,,,,
Water Science & Technology 55:5 - Contents,Consumer,No article,,,,,,,,
Water Science & Technology 56:12 (2007) 45-49 - H.R. Andersen et al. - Estrogenic personal care products in a greywater reuse system,Consumer,Not retail,,,,,,,,
Water Science and Technology 35:4 (1997) 347-352 - Peter A. Barratt et al. - ChemoxTM: advanced waste water treatment with the impinging zone reactor,Customer,Not retail,,,,,,,,
Water Science & Technology 63:11 (2011) 2598-2604 - H. Gruening et al. - Cost effectiveness of centralised and decentralised storm water treatment,Consumer,Not retail,,,,,,,,
Water Science & Technology 63:11 (2011) 2633-2640 - Th. Einfalt et al. - Climate change tendencies observable in the rainfall measurements since 1950 in the Federal Land of North Rhine-Westphalia and their consequences for urban hydrology,Consumer,Not retail,,,,,,,,
Water Science & Technology 67:6 (2013) 1165-1172 - Stephen Foster and Hector Garduno - Irrigated agriculture and groundwater resources - towards an integrated vision and sustainable relationship,Consumer,Not retail,,,,,,,,
Water Science and Technology 39:10-11 - Contents,Customer,No article,,,,,,,,
Water Science & Technology-WST 58:9 (2008) 1775-1781 - Aurelie Ohannessian et al. - Volatile organic silicon compounds: the most undesirable contaminants in biogases,Consumer,Not retail,,,,,,,,
Water Science & Technology-WST 59:7 (2009) 1281-1289 - K. Sucker et al. - Review of adverse health effects of odours in field studies,Consumer,Not retail,,,,,,,,
Water Science and Technology 40:4-5 (1999) 51-58 - Eric Rosenblum - Selection and Implementation of Nonpotable Water Recycling in Silicon Valley (San Jose Area) California?,Customer,Not retail,,,,,,,,
Water Services Management - David Stephenson?,Customer,No article,,,,,,,,
Water Supply 18:1/2 - Contents,Customer,No article,,,,,,,,
Water Supply 18:1/2 - Not article,Marketing,No article,,,,,,,,
Water Supply 18:4 - Contents,Customer,No article,,,,,,,,
Water Supply 18:4 (2000) 62-76 - Francisco Cubillo Gonz?lez and Francisco Javier Fern?ndez Delgado - Managing Anomalies and Customer Care with a GIS,Customer,No article,,,,,,,,
Water Science & Technology: Water Supply 12:4 (2012) 489-495 - Z. G. Tsvetanova and E. J. Hoekstra - Assessment of microbial growth potential of PVC flexible tubing in contact with drinking water,Consumer,Not retail,,,,,,,,
Water Supply 3:1 - Contents,Customer,No article,,,,,,,,
Water Supply 3:1 - Not article,Marketing,No article,,,,,,,,
Water Science & Technology: Water Supply 13:5 (2013) 1181-1187 - Desmond F. Lawler et al. - Silver nanoparticle removal from drinking water: flocculation/sedimentation or filtration?,Consumer,Not retail,,,,,,,,
"Water Supply 3:1-2 (2003) 411-418 - D. Luketina et al. - Hydrology, hydraulics and economics: a case study of abstracting water from an estuary",Customer,Not retail,,,,,,,,
Water Science & Technology: Water Supply-WSTWS 10:1 (2010) 105-112 - Z. G. Tsvetanova and E. J. Hoekstra - The effect of the surface-to-volume contact ratio on the biomass production potential of the pipe products in contact with drinking water,Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply-WSTWS 9:4 (2009) 423-429 - Z. G. Tsvetanova and E. J. Hoekstra - A study on assessment of biomass production potential of pipe materials in contact with drinking water,Consumer,Not retail,,,,,,,,
Water Supply 5:2 - Contents,Customer,No article,,,,,,,,
Water Supply 5:3-4 (2005) 189-196 - E. Levin et al. - Defining the conservation potential for San Franciscos 28 wholesale customers,Customer,Not retail,,,,,,,,
Water Supply 5:3-4 (2005) 303-307 - J.S. Buckle et al. - The value of data and information for implementing water demand management and the role of the envisaged Rand Water bureau to obtain same,Customer,Not retail,,,,,,,,
Water Science and Technology 32:9-10 (1995) 283-292 - K. Tsimillis and N. Pithara - The role of standardization in the protection of the environment - the Mediterranean Sea,Consumer,Not retail,,,,,,,,
Water Supply 6:2 (2006) 1-7 - J. Hunt et al. - A water efficiency rating system for land developments implementing integrated urban water management,Marketing,Not retail,,,,,,,,
Water Utility Benchmarking,Customer,No article,,,,,,,,
Water Utility Management International - 1.3 (2006) 22-24 - Antoine Fr?rot - The reforms at the heart of Veolia's Chinese water service contracts,Customer,No article,,,,,,,,
"Water Utility Management International - 1.4 (2006) 18-22 - Jeff Hughes, Shadi Eskaf and Rich Thorsten - Multi-level financial analysis of residential water and wastewater rates and rate-setting practices",Customer,No article,,,,,,,,
"Water Utility Management International - 2.2 (2007) 17-19 - Josses Mugabi, Sam Kayaga and Ian Smout - Why water utility customers don?t pay their bills promptly",Customer,No article,,,,,,,,
Water Utility Management International - 2.3 (2007) 24-27 - Anne Owen - Customers and complaints: lessons to improve water utility communications,Customer,No article,,,,,,,,
Water Utility Management International - 2.4 (2007) 7-8 - Lis Stedman - The online option for customer billing,Customer,No article,,,,,,,,
Water Science and Technology 36:5 (1997) 251-258 - Geert Boeije et al. - A geo-referenced aquatic exposure prediction methodology for down-the-drain chemicals,Consumer,Not retail,,,,,,,,
Water Utility Management International - 3.1 (2008) 14-15 - Dr Valerie Bram and Dr Henry Fabian - Psycho-linguistics: a new strategy for customer communication,Customer,No article,,,,,,,,
Water Utility Management International - 3.3 (2008) 13-14 - Lis Stedman - Putting the customer first,Customer,No article,,,,,,,,
Water Utility Management International - 4.1 (2009) 14 - ESRI - GIS aids reporting of service disruptions,Customer,No article,,,,,,,,
Water Utility Management International - Pilot issue December 2005 - Contents,Customer,No article,,,,,,,,
Water Utility Management International - Volume 1 Issue 1 March 2006 - Contents,Customer,No article,,,,,,,,
Water Utility Management International - Volume 2 Issue 4 December 2007 - Contents,Customer,No article,,,,,,,,
Water Utility Management International - Volume 3 Issue 1 March 2008 - Contents,Customer,No article,,,,,,,,
